Documento,Titolo programma,Titolo sequenza/servizio,Canale Trasmissione,Data Trasmissione,Durata,Contenuto Audio,Contenuto Video,ID Notice,Note,Time Start,Time Stop
660,Tg1 edizione 13 30,Israele contesta accordo di Losanna,RAI UNO,2015-04-04 00:00:00,00:01:35:00,Stato di Israele contesta accordo sulla produzione di energia nucleare in Iran tra i rappresentanti dell'Iran e dei cinque Stati membri permanenti del Consiglio di Sicurezza dell'organizzazione ONU con l'aggiunta della Germania. Intervista in lingua inglese tradotta in italiano al presidente degli USA sull' accordo con l' Iran.,"Grimaldi lancia servizio. 3 aprile 2015. USA, intervento del presidente degli USA Obama. Repertorio di operai al lavoro in impianto nucleare con dettagli di parti di reattore nucleare. Losanna, Svizzera, foto di rito a rappresentanti degli Stati dell' Unione EUROPEA, Iran, USA, Gran Bretagna, Russia, Germania, Francia, Cina. Teheran, Iran, presidente dell'Iran Hassan Rohani tiene conferenza stampa. Israele, primo ministro di Israele Benjamin Netanyahu tiene conferenza stampa.",T15094/105,"Non ci sono immagini di repertorio, interviste ",,
663,Tg1 edizione 13 30,Ilva e Fincantieri riprendono le attività per decreto legge,RAI UNO,2015-04-07 00:00:00,00:01:28:00,"Il Consiglio dei Ministri ha approvato il decreto legge che sblocca l' attività dello stabilimento Fincantieri di Monfalcone (Gorizia) e dell' Ilva di Taranto fermi per il sequestro di alcune aree imposto dalla magistratura a seguito della morte di un operaio nello stabilimento pugliese, investito da un getto liquido di ghisa, e per gestione di rifiuti non autorizzata nello stabilimento friulano. Approvata dal Consiglio dei Ministeri la partecipazione dell' Italia all' operazione EUROPEA contro il traffico di migranti e l' istituzione della banca dati del DNA.","Nalesso lancia servizio. 04 Luglio 2015. Italia, intervista a ministro Ambiente, tutela territorio e del mare Galletti.Monfalcone, Gorizia, Friuli Venezia Giulia, Italia, esterni stabilimento Fincantieri. Repertorio. Taranto, Puglia, Italia, esterni interni stabilimento Ilva, operai lavorano. Cartelli grafici su missione UE contro trafficanti di migranti e su banca dati del DNA.",T15185/105,"Non ci sono immagini di repertorio, interviste ",,
165,Tg1 edizione 13 30,"Immigrazione, attesa riunione ministri Affari esteri UE",RAI UNO,2015-04-09 00:00:00,00:02:23:18,Attesa la riunione in Lussemburgo dei ministri degli Affari esteri dei Paesi membri dell'Unione Europea per discutere in merito all'emergenza immigrazione.,"Frittella lancia servizio. 04 settembre 2015. Cernobbio, Como, Lombardia, Italia. Intervista al ministro degli Affari esteri, Gentiloni. Lussemburgo, Romagnoli parla in strada. Repertorio. Località varie. Primo ministro dell' Ungheria Viktor Orbán tiene intervento. Il capo di Stato maggiore della Difesa degli USA, Martin Dempsey, rilascia intervista televisiva. Primo Vicepresidente della Commissione Europea Frans Timmermans tiene intervento. Il cancelliere della Germania, Angela Merkel, e il presidente della Francia, Francois Hollande, camminano in interni.",T15247/105,"Non ci sono immagini di repertorio, interviste ",,
247,Tg1 edizione 13 30,Aylane torna a Kobane,RAI UNO,2015-04-09 00:00:00,00:02:02:10,"Rientro in Siria delle salme di Aylan e Galip Kurdi, i due fratelli di 3 e 5 anni morti annegati nel tentativo di raggiungere l'Europa su un barcone.","Frittella lancia servizio. 4 settembre 2015. Sanlirufa, Turchia, esterni aeroporto, feretri dei bambini siriani Aylan e Galip Kurdi, vengono sistemante su carri funebri. Il padre di Aylan e Galip Kurdi cammina. Londra, Gran Bretagna, Tura parla in strada. Repertorio. Gran Bretagna, primo ministro britannico David Cameron cammina, tiene intervento. Località varie, profughi nei campi di accoglienza. Fotografia di Aylan morto sulla spiaggia. Settembre 2015, Turchia, sequenze video amatoriale mostrano la salma di Aylan sulla spiaggia.",T15247/105,"Non ci sono immagini di repertorio, interviste ",,
501,Tg1 edizione 13 30,"Riunione Consiglio ""Giustizia e affari interni"" dell'Unione Europea",RAI UNO,2015-04-12 00:00:00,00:01:29:00,"Riunione a Bruxelles (Belgio) dei ministri dell'Interno e della Giustizia del Consiglio ""Giustizia e affari interni"" dell'Unione Europea per discutere sulla lotta al terrorismo internazionale, sull'emergenza immigrazione e sulla sicurezza nei Paesi dell'Unione Europea. Raggiunto un accordo sulla condivisione dei dati riguardanti voli e passeggeri","Zucchini lancia servizio. 04 dicembre 2015. Bruxelles, Belgio. Interni sede della riunione dei ministri dell'Interno e della Giustizia del Consiglio ""Giustizia e affari interni"" dell'Unione Europea per discutere sulla lotta al terrorismo internazionale, sull'emergenza immigrazione e sulla sicurezza nei Paesi dell'Unione Europea, intervista al ministro dell'Interno italiano Alfano. Repertorio. Confine Grecia Macedonia. Agenti di polizia in tenuta anti sommossa controllano immigrati clandestini e profughi ammassati davanti a barriera metallica. Scontri tra agenti di polizia e alcuni immigrati.",T15338/105,"Non ci sono immagini di repertorio, interviste ",,
89,Tg1 edizione 13 30,L'UE sulla ripresa in Italia e in Europa,RAI UNO,2015-05-02 00:00:00,00:01:38:00,Stime della Commissione europea sulla ripresa economica in Italia e negli altri paesi europei e sulla disoccupazione.,"Grimaldi lancia servizio. Repertorio. Roma, Lazio, Italia, esterni palazzo Chigi. Bruxelles, Belgio, esterni sede Commissione europea. Commissario europeo per gli affari economici e monetari Pierre Moscovici tiene discorso e rilascia intervista. Cartelli grafici sul Prodotto Interno Lordo (PIL), sulla disoccupazione e sul rapporto deficit - PIL.",T15036/105,"Non ci sono immagini di repertorio, interviste ",,
243,Tg1 edizione 13 30,Il confronto in Forza Italia,RAI UNO,2015-05-02 00:00:00,00:01:27:00,Confronto interno al partito Forza Italia (FI) sulla linea politica del partito. Critiche degli esponenti FI alle riforme costituzionali proposte dal governo.,"Grimaldi lancia servizio. 5 febbraio 2015. Roma, Lazio, Italia. Conferenza stampa e intervista all' europarlamentare del partito Forza Italia (FI) Fitto e al senatore FI Malan. Repertorio. Apparizioni pubbliche del presidente di FI Silvio Berlusconi. Esponenti di FI camminano per strada e rilasciano intervista, tra cui la deputata FI Mariastella Gelmini.",T15036/105,"Non ci sono immagini di repertorio, interviste ",,
426,Tg1 edizione 13 30,Al via il piano Draghi,RAI UNO,2015-05-03 00:00:00,00:01:34:00,Riunione del consiglio direttivo della Banca Centrale Europea (BCE) svoltasi a Cipro per discutere dell'avvio dell'acquisto da parte della BCE di titoli di Stato pubblici e privati.,"Anzaldo lancia servizio. 4 marzo 2015. Cipro, Nicosia, presidente della Banca Centrale Europea (BCE) Mario Draghi scende da auto, partecipa a riunione, tiene discorso. Repertorio: operai lavorano in varie industrie. Operatori finanziari lavorano al computer. Cartelli grafici sul rapporto Euro dollaro.",T15064/105,"Non ci sono immagini di repertorio, interviste ",,
118,Tg1 edizione 13 30,Finanziamenti a Francia e Gran Bretagna per i profughi,RAI UNO,2015-05-08 00:00:00,00:01:43:00,"Commissione Europea ha annunciato esborso immediato di venti milioni di euro per la Francia per gestire la crisi dei migranti a Calais ed alla Gran Bretagna un prefinanziamento di ventisette milioni di euro per la tutela dell' Eurotunnel dagli immigrati, nonostante le politiche restrittive nei confronti dei profughi.","Anzaldo lancia servizio. Repertorio. Località varie, esterni notte, immigrati fuggono, agenti di polizia effettuano controlli; fasi di arresto di alcuni immigrati; campo lungo di tendopoli di migranti. Strasburgo, Francia, interni del Parlamento Europeo durante alcune fasi di dibattito; commissario Europeo per le migrazioni, gli affari interni e la cittadinanza Dimitris Avramopoulos tiene conferenza stampa.",T15217/105,"Non ci sono immagini di repertorio, interviste ",,
676,Tg1 edizione 13 30,UE su immigrazione,RAI UNO,2015-05-09 00:00:00,00:01:25:17,Posizione dei diversi stati membri dell' Unione EUROPEA sull' emergenza immigrazione e possibili soluzioni in esame al vertice in Lussemburgo dei ministri della Difesa dei Paesi membri dell'Unione EUROPEA sulla lotta ai trafficanti di esseri umani.,"5 settembre 2015. Città del Lussemburgo, Lussemburgo, vertice dei ministri della difesa dei Paesi membri dell'Unione EUROPEA sulla lotta ai trafficanti di esseri umani, ministro degli Affari esteri ungherese Peter Szijjarto, ministro degli Affari Esteri austriaco Sebastian Kurz, rilasciano interviste separate; primo piano dell' alto rappresentante dell'Unione EUROPEA per gli Affari esteri e la Politica di sicurezza (PESC) Federica Mogherini, ministro degli Affari esteri italiano Gentiloni rilascia intervista. Repertorio, veduta aerea nave in transito. Strasburgo, Francia, seduta del parlamento europeo.",T15248/105,"Non ci sono immagini di repertorio, interviste ",,
77,Tg1 edizione 13 30,Champions e Europa League,RAI UNO,2015-05-11 00:00:00,00:01:24:11,Torneo di calcio Champions League. Risultato partita - Roma - Bayer Leverkusen 3 - 2. Attesa per i risultati delle squadre italiane impegnate nel torneo di calcio Europa League.,"Frittella lancia servizio. 4 novembre 2015. Esterni notte, interni stadio ""Olimpico"", torneo di calcio Champions League, fasi partita Roma - Bayer Leverkusen 3 - 2. Repertorio. Località varie. Fasi partite disputate da squadre italiane.",T15309/105,"Non ci sono immagini di repertorio, interviste ",,
415,Tg1 edizione 13 30,Stime di crescita per l'Italia,RAI UNO,2015-05-11 00:00:00,00:02:09:10,Stime dell'Istituto Istat e della Commissione Europea sulla crescita economica in Italia. In crescita consumi e occupazione.,"Frittella lancia servizio. 5 novembre 2015. Bruxelles, Belgio; palazzo sede Commissione Europea, vice presidente della Commissione Europea, Valdis Dombrowski, tiene conferenza stampa. Milano, Lombardia, Italia. Discorso del presidente della Banca Centrale Europea (BCE) Draghi all’inaugurazione dell’anno accademico dell’Università Cattolica. Repertorio: operai lavorano in fabbrica. Cartelli grafici previsione Commissione Europea sulla crescita del Prodotto Interno Lordo (PIL) e sul rapporto deficit - PIL.",T15309/105,"Non ci sono immagini di repertorio, interviste ",,
568,Tg1 edizione 13 30,Dibattito nel M5S,RAI UNO,2015-05-12 00:00:00,00:01:42:00,"Confronto politico all'interno del Movimento Cinque Stelle (M5S) e nel Centrodestra sulle candidature alle elezioni amministrative comunali 2016. Polemiche per la sospensione di tre consiglieri comunali del M5S di Livorno che hanno votato contro la decisione del sindaco ed esponente M5S Filippo Nogarin di richiedere il concordato preventivo per l' AAMPS, l' azienda municipalizzata della nettezza urbana. C","Zucchini lancia servizio. 5 dicembre 2015. Roma, Lazio, Italia. Intervista alla deputata del Movimento Cinque Stelle (M5S) Ruocco. Intervista alla senatrice del partito Forza Italia (FI) Bernini. Dettagli sito internet del M5S.. Livorno, Toscana, Italia. Seduta del Consiglio comunale sul caso AAMPS. Repertorio. Alcuni politici rilasciano interviste e camminano per strada, tra il vicepresidente del Parlamento Europeo Antonio Tajani.",T15339/105,"Non ci sono immagini di repertorio, interviste ",,
330,Tg1 edizione 13 30,Calo dei mercati azionari,RAI UNO,2015-06-01 00:00:00,00:02:12:15,Analisi del ribasso delle quotazioni delle borse a causa del calo del prezzo del petrolio greggio e delle preoccupazioni per il futuro della Grecia in vista delle prossime elezioni politiche previste il 25 gennaio 2015.,"Grimaldi lancia servizio. Gennaio 2015. Francoforte, Germania, presidente Banca Centrale Europea (BCE), Mario Draghi scende da auto. Atene, Grecia, comizio del leader del partito Syriza Alexis Tsipras, dettaglio articoli di giornale greci. Repertorio, consulenti finanziari a lavoro, campo lungo giacimento di petrolio. Cartelli grafici su andamento Borse internazionali e su andamento petrolio.",T15006/105,"Non ci sono immagini di repertorio, interviste ",,
634,Tg1 edizione 13 30,"Renzi: ""Andiamo avanti""",RAI UNO,2015-06-01 00:00:00,00:01:51:19,Dichiarazioni del presidente del Consiglio su vertice previsto a Firenze (Toscana) a fine gennaio 2015 con il cancelliere federale della Germania Angela Merkel per discutere dell' andamento dell' economia EUROPEA e su polemiche in merito ad alcuni provvedimenti contenuti nel decreto legge sul riordino dei reati fiscali che avrebbero favorito il presidente del partito Forza Italia (FI) Silvio Berlusconi.,"Grimaldi lancia servizio. 6 gennaio 2015. Roma, Lazio, Italia, presidente del Consiglio Renzi esce da sede del Partito Democratico (PD), rilascia intervista, tiene conferenza stampa e cammina per strada. Repertorio, Firenze, Toscana, Italia, Renzi cammina circondato da giornalisti, ministro dell’ Economia e Finanze Pier Carlo Padoan scende da auto. Dettagli articoli di giornale su polemiche in merito alla norma detta ""Salva Berlusconi"". Sequenze tratte dall' intervista a Renzi del direttore del quotidiano ""La Nazione"" Marcello Mancini.",T15006/105,"Non ci sono immagini di repertorio, interviste ",,
586,Tg1 edizione 13 30,Rientro dal debito della Grecia,RAI UNO,2015-06-02 00:00:00,00:01:40:00,Situazione economica della Grecia in seguito alla decisione della Banca Centrale Europea (BCE) di non accettare più i Titoli di Stato greci come garanzia di liquidità a partire dall'11 febbraio 2015. Reazioni dell' organizzazione FMI e della Commissione Europea in seguito alla richiesta del ministro dell'Economia e delle Finanze della Grecia di prorogare il pagamento del debito della Grecia. Protesta popolare ad Atene contro la politica di austerità imposta dall' Unione Europea.,"Grimaldi lancia servizio. 5 febbraio 2015. Berlino, Germania. Conferenza stampa congiunta del ministro delle Finanze della Germania Wolfgang Schäuble e della ministro dell'Economia e delle Finanze della Grecia Yanis Varoufakis. Atene, Grecia, centinaia di persone manifestano a Piazza Syntagma esponendo cartelloni con slogan contro la politica di austerità imposta dall' Unione Europea. Repertorio. Francoforte, Germania. Esterni interni palazzo sede della Banca Centrale Europea (BCE). Località varie. Primo ministro greco Alexīs Tsipras tiene discorso. Varoufakis saluta, parla e posa per fotografia con Ministro Economia e Finanze Italiano Pier Carlo Padoan.",T15037/105,"Non ci sono immagini di repertorio, interviste ",,
353,Tg1 edizione 13 30,Piano della BCE,RAI UNO,2015-06-03 00:00:00,00:01:22:02,"Previsto per il 9 marzo 2015 l'inizio dell'acquisto di titoli di stato da parte della Banca Centrale Europea (BCE), per aumentare la competitività di imprese e famiglie dei Paesi membri dell'Unione Europea. esclusa dal programma la Grecia. Possibili effetti del piano finanziario di acquisti della BCE.","Anzaldo lancia servizio. Repertorio. Francoforte, Germania. Esterni interni palazzo sede della Banca Centrale Europea (BCE). Il presidente della BCE Mario Draghi tiene discorso. Località varie. Interni Borsa, consulenti finanziari al lavoro. Operai lavorano in fabbrica. Cartelli grafici sul piano della BCE.",T15065/105,"Non ci sono immagini di repertorio, interviste ",,
462,Tg1 edizione 13 30,Attesa per le decisioni della BCE a seguito del referendum greco,RAI UNO,2015-06-07 00:00:00,00:02:01:00,"Attesa per la decisione della Banca Centrale Europea (BCE) riguardo gli aiuti economici alla Grecia a seguito della vittoria del ""no"" AL referendum svoltosi il 5 luglio 2015 in Grecia sull'accettazione delle riforme economiche proposte dai creditori internazionali per superare la crisi economica.","Anzaldo lancia servizio. Repertorio, Francoforte, Germania, presidente della Banca Centrale Europea (BCE) Mario Draghi cammina in interni. Riunione del direttivo della BCE. Stampa banconote euro. Grecia, persone in esterni. Cartelli grafici riguardo gli aiuti economici della BCE alla Grecia e sul debito della Grecia verso la BCE.",T15187/105,"Non ci sono immagini di repertorio, interviste ",,
489,Tg1 edizione 13 30,L' Unione Europea sul referendum greco,RAI UNO,2015-06-07 00:00:00,00:01:13:00,"Reazioni dei leader dei Paesi dell' Unione Europea alla vittoria del ""no"" al referendum svoltosi il 5 luglio 2015 in Grecia sull'accettazione delle riforme economiche proposte dai creditori internazionali per superare la crisi economica.","Repertorio, Berlino, Germania, discorso del cancelliere federale Angela Merkel. Bruxelles, Belgio, conferenza stampa del Commissario europeo per l'euro e il dialogo sociale Valdis Dombrovskis. Presidente Commissione Europea Jean Claude Juncker cammina in interni. Presidente francese Francois Hollande scende da auto. Merkel e Hollande parlano tra loro.",T15187/105,"Non ci sono immagini di repertorio, interviste ",,
551,Tg1 edizione 13 30,15.000 immigrati in Gran Bretagna,RAI UNO,2015-06-09 00:00:00,00:01:07:00,"La disponibilità della Gran Bretagna ad accogliere i rifugiati politici, in prevalenza siriani - dopo l'apertura nei confronti dei migranti mostrata dal governo tedesco - rifiutando però di adottare il sistema di suddivisione pro-quote per richiedenti asilo come richiesto dall’Unione Europea. Possibilità di estendere i bombardamenti aerei dall'Iraq alla Siria contro le postazioni del gruppo terroristico IS (Stato Islamico - detto anche ISIS o ISIL).","6 Settembre 2015, Londra, Gran Bretagna, Tura parla in piedi; immigrati dormono all' interno di stazione ferroviaria; riprese aeree di Londra; dettagli di articoli di giornale sugli immigrati in Gran Bretagna. Lisbona, Portogallo, primo ministro della Gran Bretagna David Cameron cammina e parla con primo ministro del Portogallo Pedro Passos Coelho; Ankara, Turchia, Cancelliere dello Scacchiere George Osborne rilascia intervista durante Vertice G20. Repertorio: immigrati all' interno di campi profughi;",T15249/105,"Non ci sono immagini di repertorio, interviste ",,
649,Tg1 edizione 13 30,Italia in ripresa,RAI UNO,2015-06-10 00:00:00,00:01:39:12,Previsioni e stime della società statunitense di ricerche finanziarie Standard and Poor's Corporation sulla crescita economica in Italia. Dichiarazioni del Ministro Economia e Finanze in merito al consiglio dei ministri finanziari dell’Unione EUROPEA (Ecofin) in Lussemburgo.,"Nalesso lancia servizio. 6 ottobre 2015. Lussemburgo, sede del Consiglio dei ministri dell'Unione EUROPEA (Ecofin), conferenza stampa del Ministro Economia e Finanze Padoan. Italia. Intervista al governatore della Banca d'Italia Ignazio Visco. Repertorio. New York USA, esterni palazzo sede della società Standard and Poor's Corporation. Località varie. Campo lungo strade, persone camminano. Interni industrie, operai al lavoro. Dettaglio mano e macchina conta banconote. Cartelli grafici sulle previsioni di crescita economica fatte da Standard and Poor's.",T15279/105,"Non ci sono immagini di repertorio, interviste ",,
244,Tg1 edizione 13 30,Crisi e disoccupazione nell' UE,RAI UNO,2015-07-01 00:00:00,00:01:57:00,"Aumento del tasso di disoccupazione in Italia, Germania; tasso medio di disoccupazione nei paesi dell' Unione Europea (UE) in aumento; calo del tasso di disoccupazione giovanile in Italia; fiducia del governo italiano nella ripresa economica.","Grimaldi lancia servizio. Repertorio: operai lavorano in varie industrie; persone camminano in strada; ministro del Lavoro e delle Politiche sociali Giuliano Poletti cammina in strada e successivamente tiene conferenza stampa. Berlino, Germania, persone camminano in strada. Cartelli grafici inerenti il tasso di disoccupazione in Italia e in altri paesi dell' Unione Europea.",T15007/105,"Non ci sono immagini di repertorio, interviste ",,
273,Tg1 edizione 13 30,Inflazione e deflazione,RAI UNO,2015-07-01 00:00:00,00:01:34:00,Rischio di deflazione per l' economia dei paesi dell' Unione Europea (UE) che potrebbe essere evitato attraverso l' acquisizione di titoli di Stato da parte della Banca Centrale Europea (BCE); informazioni sulla crisi economica in Italia.,Repertorio: operatori di borsa al lavoro. Presidente della Banca Centrale Europea (BCE) Mario Draghi tiene conferenza stampa; campo lungo mercato ortofrutticolo e impianto petrolifero; dettagli di monete di valuta Euro; fasi di stampa banconote da dieci Euro. Cartelli grafici inerenti il tasso di deflazione nell' eurozona di dicembre 2013 e 2014 e del tasso di inflazione in Italia di novembre 2014 e dicembre 2014.,T15007/105,"Non ci sono immagini di repertorio, interviste ",,
21,Tg1 edizione 13 30,Europa League,RAI UNO,2015-07-05 00:00:00,00:01:06:22,Attesa per le semifinali del torneo di calcio Europa League Napoli - Dnipro e Siviglia - Fiorentina.,"Repertorio, calciatori della squadra del Napoli durante allenamenti su campo guidati dall' allenatore Rafael Benítez; primo piano dell' allenatore della Fiorentina Vincenzo Montella; fasi gioco partita di calcio disputata dalla Fiorentina. Sequenze tratte da video promozionale del torneo di calcio Europa League.",T15127/105,"Non ci sono immagini di repertorio, interviste ",,
439,Tg1 edizione 13 30,"Grecia, nuove proposte",RAI UNO,2015-07-07 00:00:00,00:01:51:00,Le possibili nuove proposte del primo ministro greco alla riunione straordinaria dei capi di Stato e di governo dell’Eurozona sulla crisi economica greca.,"Anzaldo lancia servizio. Luglio 2015, Atene, Grecia, primo ministro della Grecia Alexis Tsipras entra in sala riunioni e stringe mani. Nuovo ministro delle Finanze della Grecia Euclid Tsakalotos tiene discorso, abbraccia l' ex ministro delle Finanze greco Yanis Varoufakis e cammina assieme a lui. Esterni palazzo del Parlamento, gente cammina per strada. Francoforte, Germania, esterni interni sede Banca Centrale Europea (BCE), presidente BCE Mario Draghi presiede riunione del consiglio direttivo della BCE. Repertorio: fasi stampa banconote Euro.",T15188/105,"Non ci sono immagini di repertorio, interviste ",,
400,Tg1 edizione 13 30,Renzi sull' immigrazione,RAI UNO,2015-07-09 00:00:00,00:01:34:24,Dichiarazioni del presidente del Consiglio sulla gestione dell'accoglienza e della redistribuzione degli immigrati extracomunitari clandestini in Italia e nell'Unione Europea. Confronto politico in merito alle dichiarazioni del presidente del Consiglio.,"Grimaldi lancia servizio. 7 settembre 2015. Italia, interviste separate al segretario federale del movimento Lega Nord Salvini e al presidente dei deputati del gruppo parlamentare Partito Democratico (PD) alla Camera Rosato; dettaglio documento firmato da capo della Polizia Alessandro Pansa su gestione emergenza immigrazione in Italia. Repertorio. Roma, Lazio, Italia, esterni palazzo Chigi; apparizioni pubbliche di Alessandro Pansa e del senatore del PD Giorgio Tonini.",T15250/105,"Non ci sono immagini di repertorio, interviste ",,
558,Tg1 edizione 13 30,Governo sosterrà le imprese,RAI UNO,2015-07-09 00:00:00,00:01:38:16,"Dichiarazioni del ministro dell'Economia e delle Finanze sulla ripresa economica italiana in occasione della partecipazione alla XLI edizione del forum economico internazionale The European House - Ambrosetti intitolato ""Lo scenario di oggi e di domani per le strategie competitive"". Commenti del presidente dell' associazione Confindustria.","Grimaldi lancia servizio. 7 settembre 2015. Roma, Lazio, Italia, esterni ministero dell' Economia e delle Finanze. Bologna, Emilia Romagna, Italia, intervista a presidente dell' associazione Confindustria, Squinzi. 06 settembre 2015. Cernobbio, Como, Lombardia, Italia, esterni e interni Villa d'Este, XLI edizione del forum economico internazionale The European House - Ambrosetti intitolato ""Lo scenario di oggi e di domani per le strategie competitive"", intervento del ministro dell'Economia e delle Finanze, Pier Carlo Padoan. Repertorio, operai a lavoro in interni fabbriche.",T15250/105,"Non ci sono immagini di repertorio, interviste ",,
561,Tg1 edizione 13 30,Piano dell' UE su immigrazione,RAI UNO,2015-07-09 00:00:00,00:02:31:05,Aggiornamenti su piano della Commissione Europea riguardante la gestione dell'accoglienza e la redistribuzione degli immigrati extracomunitari clandestini tra i Paesi membri dell'Unione Europea. Previsti per l'8 settembre 2015 voli di ricognizione dell'aeronautica militare francese in Siria su postazioni militari del gruppo terroristico IS (Stato Islamico – detto anche ISIS o ISIL).,"Grimaldi lancia servizio. 7 settembre 2015. Parigi, Francia, presidente della Francia François Hollande tiene conferenza stampa. Strasburgo, Francia, interni parlamento Europeo, il presidente della Commissione Europea, Jean Claude Juncker tiene intervento. Repertorio. Località varie, apparizioni pubbliche del primo ministro dell' Ungheria Viktor Orbán, del cancelliere federale della Germania Angela Merkel, del segretario generale dell’organizzazione ONU Ban Ki-moon che stringe la mano a Juncker; immigrati extracomunitari in centri di accoglienza; sequenze tratte da video ad infrarossi mostrano soldati in pattugliamento; volontari distribuiscono cibo e coperte a immigrati clandestini; operazioni di soccorso in mare di immigrati.",T15250/105,"Non ci sono immagini di repertorio, interviste ",,
643,Tg1 edizione 13 30,La protesta degli agricoltori,RAI UNO,2015-07-09 00:00:00,00:01:40:12,"Manifestazioni di protesta organizzata dall'associazione Coldiretti contro la contraffazione dei prodotti agroalimentari italiani e le politiche agricole dell'Unione EUROPEA al confine del Brennero (Bolzano) e a Bruxelles (Belgio), dove si tiene il vertice straordinario dei ministri dell'Agricoltura dei Paesi membri dell'Unione EUROPEA.","Grimaldi lancia servizio. 7 settembre 2015. Brennero, Bolzano, Trentino Alto Adige, Italia, manifestazione di protesta contro la contraffazione dei prodotti agroalimentari italiani organizzata dall' associazione Coldiretti, interviste separate a responsabile qualità Coldiretti, Manfredini, mentre mostra prodotto arrivato dalla Germania, a vicepresidente di Coldiretti Prandini, a presidente dell' associazione Federconsumatori Trefiletti. Repertorio, agente di Polizia ferma camion e controlla carico.",T15250/105,"Non ci sono immagini di repertorio, interviste ",,
491,Tg1 edizione 13 30,Allerta in tutta Europa,RAI UNO,2015-08-01 00:00:00,00:01:44:12,"Alto livello di allerta in Italia per possibili attentati terroristici a seguito dell' attentato di matrice islamica nella sede del giornale satirico ""Charlie Hebdo"" a Parigi eseguito da due uomini armati di fucili d'assalto, che hanno fatto irruzione nella sede del giornale uccidendo dodici membri della redazione, tra i quali il direttore Stephane Charbonnier detto ""Charb"", e due agenti di polizia adibiti alla sua scorta.","Grimaldi lancia servizio. Gennaio 2015. Roma, Lazio, Italia. Sequenze tratte da trasmissione televisiva, ministro dell' Interno Alfano parla in primo piano. Repertorio, Italia, auto della Polizia e della Guardia di Finanza in transito; esterni e interni aeroporto e stazione ferroviaria; esterni ambasciata statunitense; militari presidiano strade.",T15008/105,"Non ci sono immagini di repertorio, interviste ",,
446,Tg1 edizione 13 30,Contrasti FI,RAI UNO,2015-08-04 00:00:00,00:01:24:00,Contrasti all' interno del partito Forza Italia (FI) tra il presidente di FI Silvio Berlusconi e l' europarlamentare di FI Raffaele Fitto sulla scelta dei candidati da sostenere alle elezioni Regionali del 2015.,"Zucchini lancia servizio. 8 aprile 2015. Roma, Lazio, Italia, intervista a deputata Forza Italia (FI) Gelmini, Repertorio, presidente partito Forza Italia (FI) Silvio Berlusconi scende da auto, tiene discorso. Puglia, conferenza stampa di Francesco Schittulli, candidato alla presidenza della Regione Puglia sostenuto dall' europarlamentare FI Raffaele Fitto.",T15098/105,"Non ci sono immagini di repertorio, interviste ",,
667,Tg1 edizione 13 30,Rottura tra Marine Le Pen e il padre,RAI UNO,2015-08-04 00:00:00,00:01:32:00,"Contrasti tra il leader del partito di estrema destra francese Front National (FN), Marine Le Pen, e suo padre, Jean Marie Le Pen, fondatore del partito. Marine Le Pen ha annunciato che si opporrà alla candidatura del padre alle prossime elezioni regionali. Intervento in lingua francese di Jean Marie Le Pen al Parlamento europeo.","Zucchini lancia servizio. Aprile 2015. Francia. Dettaglio pagina del sito internet ufficiale del leader del partito di estrema destra francese Front National (FN), Marine Le Pen, riguardante contrasti tra Marine Le Pen e suo padre, fondatore di Front National (FN). Repertorio anche in bianco e nero. Località varie. Apparizioni pubbliche di Marine Le Pen e di suo padre. Interni sede del Parlamento europeo, intervento del fondatore di Front National (FN), Le Pen.",T15098/105,"Non ci sono immagini di repertorio, interviste ",,
511,Tg1 edizione 13 30,Rimborso pensioni,RAI UNO,2015-08-05 00:00:00,00:01:49:00,Possibili misure allo studio del governo per rispettare la sentenza della Corte Costituzionale che ha stabilito il ripristino dell'adeguamento al costo della vita per le pensioni che superano di tre volte l'importo minimo. Intervista in lingua inglese tradotta in italiano a presidente dell’Eurogruppo.,"Zucchini lancia servizio. 8 maggio 2015. Roma, Lazio, Italia, interventi separati del ministro dell’ Economia e Finanze Padoan e presidente dell’Eurogruppo Dijsselbloem durante conferenza stampa congiunta; Padoan e Dijsselbloem si stringono la mano. Repertorio: interni ufficio pubblico dell' istituto INPS. Inseriti cartelli grafici sulla sentenza della Corte Costituzionale sul blocco delle pensioni.",T15128/105,"Non ci sono immagini di repertorio, interviste ",,
470,Tg1 edizione 13 30,Alfano su immigrazione,RAI UNO,2015-08-06 00:00:00,00:01:12:00,"Dichiarazioni del ministro dell' Interno in conferenza stampa sull' emergenza immigrazione, in particolare sulla necessità dell' appoggio dell' Unione Europea e sulla decisione di alcune regioni del Nord Italia di non accogliere immigrati clandestini.","8 giugno 2015. Roma, Lazio, Italia, ministro dell' Interno Alfano parla in conferenza stampa e siede a tavolo per riunione; dettaglio articolo di giornale su dichiarazioni di Alfano. Repertorio, sindaco di Milano Giuliano Pisapia parla con operai; prefetto Francesco Paolo Tronca rilascia intervista.",T15159/105,"Non ci sono immagini di repertorio, interviste ",,
