Documento,Titolo programma,Titolo sequenza/servizio,Canale Trasmissione,Data Trasmissione,Durata,Contenuto Audio,Contenuto Video,ID Notice,Note,Time Start,Time Stop
572,Tg1 edizione 13 30,Evasione fiscale per Google,RAI UNO,28/01/2016,00:01:16:00,"Guardia di finanza contesta evasione fiscale 227 milioni di euro alla società informatica ""Google""; redatti regolamenti dell' Unione Europea (UE) sulle norme anti evasione fiscale delle società multinazionali.","Frittella lancia servizio. 28 gennaio 2016. Milano, Lombardia, Italia, intervento del direttore dell' Agenzia delle Entrate Orlandi a convegno de Il Sole 24 Ore ""Telefisco 2016"". Repertorio. Mountain View, USA, esterni sede della società informatica ""Google""; dettagli di pagina internet di Google su schermo di computer. Bruxelles, Belgio, Commissario Europeo agli Affari Economici e finanziari Pierre Moscovici tiene conferenza stampa. Cartelli grafici sui regolamenti dell' Unione Europea (UE) sulle norme anti evasione fiscale delle società multinazionali.",T16028/105,"Non ci sono immagini di repertorio, interviste ",,
583,Tg1 edizione 13 30,Renzi su politica estera ed interna,RAI UNO,28/01/2016,00:01:36:00,"Attesa per l' incontro tra il presidente del Consiglio italiano e cancelliere federale della Germania Angela Merkel; intervista rilasciata dal presidente del Consiglio italiano a giornale tedesco ""Frankfurter Allgemeine Zeitung"" su collaborazione tra Francia, Germania ed Italia; respinta mozione di sfiducia contro il governo presentata dal partito Forza Italia (FI) e dal movimento Lega Nord a seguito dell'approvazione del decreto ""Salva banche"".","Frittella lancia servizio. 27 gennaio 2016. Roma, Lazio, Italia. Interni palazzo Montecitorio, seduta Camera dei deputati su mozione di sfiducia al Governo, intervento del presidente del Consiglio Matteo Renzi. Dettagli di pagine internet di social network di Renzi. Repertorio. Renzi parla con cancelliere federale della Germania Angela Merkel.",T16028/105,"Non ci sono immagini di repertorio, interviste ",,
544,Tg1 edizione 13 30,Attesa per Bulgaria Italia,RAI UNO,28/03/2015,00:01:47:04,Attesa per la partita di calcio Bulgaria - Italia che si disputerò a Sofia (Bulgaria) valida per le qualificazioni al Campionato Europeo Francia 2016. Polemiche in merito alle condizioni di salute del calciatore della nazionale italiana Claudio Marchisio dopo l' infortunio subito.,"Zucchini lancia servizio. 28 marzo 2015. Italia, presidente della federazione FIGC Carlo Tavecchio cammina in corridoio e rilascia intervista. Sofia, Bulgaria, intervista a medico della nazionale di calcio italiana Castellacci; interni aereo, calciatori della nazionale di calcio Italiana scendono da aereo e camminano in aeroporto; calciatori durante allenamenti; commissario tecnico della nazionale italiana Conte parla in conferenza stampa, segue allenamenti, rilascia intervista che poi interrompe alzandosi e uscendo. Repertorio, calciatore della nazionale di calcio italiana Claudio Marchisio durante allenamenti su campo.",T15087/105,"Non ci sono immagini di repertorio, interviste ",,
436,Tg1 edizione 13 30,Centrodestra su formazione governo,RAI UNO,28/03/2018,00:01:23:00,Confronto politico interno al Centrodestra sulla formazione del nuovo governo. Considerazioni del segretario federale del movimento Lega su disponibilità al dialogo con il Movimento Cinque Stelle (M5S).,"Interni studio Tg1, Zucchini parla seduto dietro scrivania. 27 marzo 2018. Italia. Tratto dalla trasmissione ""Porta a porta"" di Rai1, intervento del segretario federale del movimento Lega Salvini. Repertorio. Apparizioni pubbliche di alcuni politici tra cui il presidente del partito Fratelli d'Italia (FdI) Giorgia Meloni e il presidente del Parlamento europeo Antonio Tajani.",T18087/105,"Non ci sono immagini di repertorio, interviste ",,
618,Tg1 edizione 13 30,Juncker: Berlusconi si scusi,RAI UNO,28/04/2014,00:01:44:24,"Reazioni del candidato del Partito Popolare europeo alla presidenza della Commissione EUROPEA nelle elezioni del 2014, Jean-Claude Juncker, e del cancelliere federale della Germania alle affermazioni del presidente del partito Forza Italia (FI), Silvio Berlusconi, che il 26 aprile 2014 ha accusato di negazionismo i tedeschi. Aggiornamenti sull' inchiesta su una presunta estorsione messa in atto dall’ imprenditore Gianpaolo Tarantini nei confronti di Berlusconi.","Grimaldi lancia servizio. Repertorio, cancelliere federale della Germania Angela Merkel e candidato del Partito Popolare europeo alla presidenza della Commissione EUROPEA nelle elezioni del 2014, Jean-Claude Juncker, tengono discorso in una seduta della Commissione EUROPEA; vicepresidente della Commissione EUROPEA, Antonio Tajani, parla in primo piano; presidente del partito Forza Italia (FI), Silvio Berlusconi, scende da auto e tiene discorso; imprenditore Gianpaolo Tarantini sale in auto.",T14118/105,"Non ci sono immagini di repertorio, interviste ",,
210,Tg1 edizione 13 30,Renzi incalza la UE,RAI UNO,28/05/2014,00:01:56:00,Il presidente del Consiglio incontra il primo ministro bulgaro Oresharski al rientro dal vertice informale dei Capi di Stato e di Governo dell' Unione Europea (UE) a Bruxelles (Belgio). Dichiarazioni del presidente del Consiglio dopo il vertice UE.,"Grimaldi lancia servizio. 28 maggio 2014. Roma, Lazio, Italia, presidente del Consiglio Renzi incontra il primo ministro bulgaro Plamen Oresharski. 27 maggio 2014. Bruxelles, Belgio, presidente del Consiglio italiano Renzi rilascia intervista; vertice dei capi di Stato e di Governo. Repertorio, campi lunghi palazzo Chigi.",T14148/105,"Non ci sono immagini di repertorio, interviste ",,
220,Tg1 edizione 13 30,"SC, si dimette Giannini",RAI UNO,28/05/2014,00:01:57:00,Prevista il 29 maggio 2014 la riunione della Direzione Nazionale del Partito Democratico per discutere delle riforme. Analisi e bilanci dei vari partiti dopo le elezioni europee. Dimissioni di Giannini dalla carica di segretario del movimento Scelta Civica.,"Grimaldi lancia servizio. 28 maggio 2014. Italia, conferenza stampa del portavoce del Partito Democratico (PD) Lorenzo Guerini; intervista al deputato del Partito Democratico Martella. Repertorio. Leader partito Nuovo Centrodestra (NCD) Angelino Alfano in postazione conferenza stampa; segretario del movimento Scelta Civica Stefania Giannini e vicepresidente di Scelta Civica Balduzzi rilasciano interviste. Seduta Senato.",T14148/105,"Non ci sono immagini di repertorio, interviste ",,
261,Tg1 edizione 13 30,"FI e M5S, tensioni sul dopo-voto",RAI UNO,28/05/2014,00:02:06:00,Bilanci e tensioni nel partito Forza Italia (FI) e nel Movimento 5 Stelle (M5S) dopo i risultati delle elezioni europee del 25 maggio 2014.,"Grimaldi lancia servizio. 28 maggio 2014. Italia, interviste separate al senatore del partito Forza Italia (FI) Gasparri, al senatore M5S Cioffi e al deputato Movimento 5 Stelle (M5S) Di Stefano. Dettaglio pagine di giornale. Maggio 2014. Video del leader M5S Beppe Grillo che assume una pasticca di Maalox. Repertorio, apparizioni pubbliche di alcuni politici tra cui il presidente di FI Silvio Berlusconi; conferenza stampa deputati M5S alla Camera.",T14148/105,"Non ci sono immagini di repertorio, interviste ",,
423,Tg1 edizione 13 30,Grillo e Salvini a Bruxelles,RAI UNO,28/05/2014,00:01:52:00,"Incontro a Bruxelles, Belgio tra segretario Movimento Lega Nord e presidente partito Fronte Nazionale; durante il viaggio in aereo Salvini ha incontrato il leader Movimento 5 Stelle (M5S) Grillo, anch' egli diretto a Bruxelles.","Grimaldi lancia servizio. 28 maggio 2014. Bruxelles, Belgio, segretario movimento Lega Nord Matteo Salvini posa per fotografia insieme a presidente del partito di destra francese Fronte Nazionale Marine Le Pen, conferenza stampa di Salvini e Le Pen. Repertorio, Salvini parla al telefonino, leader partito per l'Indipendenza del Regno Unito (UKIP) Nigel Farage cammina in esterni, rilascia intervista e tiene conferenza stampa. Seduta Parlamento europeo, protesta degli europarlamentari della Lega Nord.",T14148/105,"Non ci sono immagini di repertorio, interviste ",,
265,Tg1 edizione 13 30,Mattarella su Brexit,RAI UNO,28/06/2016,00:01:21:00,"Lettera aperte del presidente della Repubblica su giornale ""La Stampa"" in merito all'importanza della coesione Europea dopo referendum del 23 giugno 2016 che ha sancito uscita della Gran Bretagna dall' Unione Europea (UE) ritirandosi dagli accordi e dai trattati Europei (Brexit).","Nalesso lancia servizio. 28 giugno 2016. Dettagli pagina deò giornale ""La Stampa"" con lettera aperta del presidente della Repubblica Mattarella. Mattarella rilascia intervista al sito internet ""La Stampa tv"". Repertorio. Esterni palazzo del Quirinale; apparizioni pubbliche di Mattarella.",T16180/105,"Non ci sono immagini di repertorio, interviste ",,
